Designator,Mid X,Mid Y,Layer,Rotation,Comment,Footprint
J1,96.000000,-104.000000,Bottom,-90.000000,"to MAIN 2x8 (B.Cu, mirrored)",PinHeader_2x08_P2.54mm_Vertical_Mirrored
C1,69.000000,-60.800000,Top,0.000000,100n,C_0603_1608Metric
C2,70.178330,-64.653121,Top,0.000000,100n,C_0603_1608Metric
C3,63.626839,-61.577702,Top,0.000000,100n,C_0603_1608Metric
C4,75.198932,-61.591615,Top,0.000000,100n,C_0603_1608Metric
C5,64.920486,-64.931284,Top,0.000000,100n,C_0603_1608Metric
C6,75.627028,-65.789860,Top,0.000000,100n,C_0603_1608Metric
C7,122.000000,-76.000000,Top,0.000000,100u,CP_Elec_6.3x7.7
LED1,34.000000,-36.000000,Top,0.000000,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm
LED2,69.000000,-36.000000,Top,0.000000,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm
LED3,104.000000,-36.000000,Top,0.000000,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm
LED4,34.000000,-76.000000,Top,0.000000,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm
LED5,104.000000,-76.000000,Top,0.000000,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm
LED6,69.000000,-76.000000,Top,0.000000,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm
RV1,34.000000,-22.000000,Top,0.000000,B10k (FREQ),ALPS_RK09K1130
RV2,69.000000,-22.000000,Top,0.000000,B10k (GAIN),ALPS_RK09K1130
RV3,104.000000,-22.000000,Top,0.000000,B10k (MIX),ALPS_RK09K1130
RV4,34.000000,-50.000000,Top,0.000000,B10k (FIZZ),ALPS_RK09K1130
RV5,69.000000,-50.000000,Top,0.000000,B10k (Q),ALPS_RK09K1130
RV6,104.000000,-50.000000,Top,0.000000,B10k (VOL),ALPS_RK09K1130
SW1,34.000000,-96.000000,Top,0.000000,Alpha SF12011F-0102-20R-M-011 (TAP/BYP),SF12011F-0102-M
SW2,104.000000,-96.000000,Top,0.000000,Alpha SF12011F-0102-20R-M-011 (TAP/TEMPO),SF12011F-0102-M
