Designator,Mid X,Mid Y,Layer,Rotation,Comment,Footprint
C1,127.200000,-42.000000,Top,0.000000,220n,C_0603_1608Metric
C2,82.289726,-36.454371,Top,0.000000,4.7u,CP_Elec_4x5.4
C3,118.397849,-34.980519,Top,0.000000,220n,C_0603_1608Metric
C8,60.926033,-51.444232,Top,0.000000,220n,C_0603_1608Metric
C20,121.602150,-49.019480,Top,0.000000,100n,C_0603_1608Metric
C21,127.201075,-45.509740,Top,0.000000,100n,C_0603_1608Metric
C22,112.800000,-42.000000,Top,0.000000,100n,C_0603_1608Metric
C23,112.732779,-46.232197,Top,0.000000,100n,C_0603_1608Metric
C30,116.800000,-74.000000,Top,0.000000,100n,C_0603_1608Metric
C31,121.178330,-90.653121,Top,0.000000,100n,C_0603_1608Metric
C32,84.051467,-21.850992,Top,0.000000,3.9n,C_0603_1608Metric
C33,77.238510,-40.160605,Top,0.000000,100n,C_0603_1608Metric
C34,61.659911,-40.498481,Top,0.000000,100n,C_0603_1608Metric
C35,75.080184,-7.315211,Top,0.000000,100n,C_0603_1608Metric
C40,82.988960,-40.208119,Top,0.000000,100n,C_0603_1608Metric
C41,99.326324,-55.093939,Top,0.000000,DNP-LFIL,C_0603_1608Metric
C42,94.673675,-44.906060,Top,0.000000,DNP-OFIL,C_0603_1608Metric
C43,80.449971,-7.947196,Top,0.000000,220p,C_0603_1608Metric
C44,78.770634,-43.860433,Top,0.000000,1u,C_0603_1608Metric
C45,103.200000,-86.000000,Top,0.000000,47n,C_0603_1608Metric
C46,97.560722,-93.846282,Top,0.000000,1u,C_0603_1608Metric
C47,96.000000,-78.000000,Top,0.000000,22u,CP_Elec_5x5.4
C48,84.102661,-80.433685,Top,0.000000,470u,CP_Elec_10x10
C49,61.949353,-44.178818,Top,0.000000,100n,C_0603_1608Metric
C50,53.788921,-48.180626,Top,0.000000,100n,C_0603_1608Metric
C60,80.449971,-3.947196,Top,0.000000,220n,C_0603_1608Metric
C61,55.200000,-50.000000,Top,0.000000,220p,C_0603_1608Metric
C62,49.560722,-57.846282,Top,0.000000,220p,C_0603_1608Metric
C63,86.087079,-10.585913,Top,0.000000,100n,C_0603_1608Metric
C64,47.725479,-27.367647,Top,0.000000,100n,C_0603_1608Metric
C65,75.094529,-3.187027,Top,0.000000,100n,C_0603_1608Metric
C66,89.822530,-37.054347,Top,0.000000,100n,C_0603_1608Metric
C67,47.660318,-31.259285,Top,0.000000,100n,C_0603_1608Metric
C70,48.720697,-15.757094,Top,0.000000,100n,C_0603_1608Metric
C71,42.794663,-30.444232,Top,0.000000,100n,C_0603_1608Metric
C72,88.044155,-40.824299,Top,0.000000,47n,C_0603_1608Metric
C72A,39.602150,-51.019480,Top,0.000000,56n,C_0603_1608Metric
C73,25.800000,-68.000000,Top,0.000000,100n,C_0603_1608Metric
C74,20.673675,-74.906060,Top,0.000000,1u,C_0603_1608Metric
C75,27.061467,-59.391036,Top,0.000000,10u,CP_Elec_4x5.4
C76,77.714547,-47.726323,Top,0.000000,100n,C_0603_1608Metric
C77,70.000000,-49.000000,Top,0.000000,100n,C_0603_1608Metric
C78,62.285452,-47.726323,Top,0.000000,100n,C_0603_1608Metric
C80,131.199999,-78.000000,Top,0.000000,1u,C_0603_1608Metric
C81,45.542347,-83.889259,Top,0.000000,10n,C_0603_1608Metric
C82,40.362505,-80.559284,Top,0.000000,10n,C_0603_1608Metric
C83,56.666314,-44.955270,Top,0.000000,100n,C_0603_1608Metric
C84,125.602150,-85.019480,Top,0.000000,100n,C_0603_1608Metric
C85,85.824299,-6.955844,Top,0.000000,100n,C_0603_1608Metric
C90,53.119362,-83.715572,Top,0.000000,10u,CP_Elec_4x5.4
C91,85.637706,-44.248432,Top,0.000000,100n,C_0603_1608Metric
C93,52.603422,-7.325184,Top,0.000000,100n,C_0603_1608Metric
C94,51.081371,-42.246608,Top,0.000000,100n,C_0603_1608Metric
C95,91.812703,-10.128350,Top,0.000000,100n,C_0603_1608Metric
C96,95.227122,-17.218463,Top,0.000000,100n,C_0603_1608Metric
C97,89.559036,-34.818305,Top,0.000000,100n,C_0603_1608Metric
C98,84.946644,-47.725268,Top,0.000000,100n,C_0603_1608Metric
C99,76.272751,-51.466820,Top,0.000000,100n,C_0603_1608Metric
C100,70.000000,-25.800000,Top,0.000000,220u/35V,CP_Elec_8x10
C101,67.719266,-20.005443,Top,0.000000,100n,C_0603_1608Metric
C102,72.714552,-31.542827,Top,0.000000,1u,C_0603_1608Metric
C103,78.496849,-19.473707,Top,0.000000,1u,C_0603_1608Metric
C104,75.250702,-16.963201,Top,0.000000,10u/50V X7R,C_1206_3216Metric
C105,66.938532,-17.608963,Top,0.000000,3n3,C_0603_1608Metric
C106,95.250000,-21.500000,Top,0.000000,100n,C_0603_1608Metric
C107,73.856276,-33.791423,Top,0.000000,100n,C_0603_1608Metric
C108,60.920154,-21.882885,Top,0.000000,22u,C_0805_2012Metric
C109,54.688532,-38.141036,Top,0.000000,47u,CP_Elec_6.3x5.4
C110,77.600000,-11.836413,Top,0.000000,47u,CP_Elec_6.3x5.4
C111,79.079845,-21.882885,Top,0.000000,100n,C_0603_1608Metric
C120,40.361615,-84.606614,Top,0.000000,1n,C_0603_1608Metric
C121,79.520240,-32.305137,Top,0.000000,100n,C_0603_1608Metric
C122,84.631344,-24.274837,Top,0.000000,100n,C_0603_1608Metric
C123,67.800000,-101.000000,Top,0.000000,100n,C_0603_1608Metric
C124,68.530733,-104.695518,Top,0.000000,100n,C_0603_1608Metric
C910,48.722011,-12.260800,Top,0.000000,100n,C_0603_1608Metric
C911,45.577960,-23.944822,Top,0.000000,100n,C_0603_1608Metric
D1,114.783562,-81.135691,Top,0.000000,1N4148W,D_SOD-123
D70,30.000000,-44.000000,Top,0.000000,1N4148W,D_SOD-123
D71,28.822291,-40.238174,Top,0.000000,1N4148W,D_SOD-123
D72,27.291557,-36.542655,Top,0.000000,1N4148W,D_SOD-123
D73,35.398059,-36.259082,Top,0.000000,1N4148W,D_SOD-123
D74,31.096903,-32.544948,Top,0.000000,1N4148W,D_SOD-123
