Line#,Qty,Designator,MPN,Manufacturer,Description,Package,Type,DNP
1,1,C7,RVE100UF35V67RV0072,KNSCHA,100u,CP_Elec_6.3x7.7,SMD,
2,6,"C1,C2,C3,C4,C5,C6",CC0603KRX7R9BB104,YAGEO,100n,C_0603_1608Metric,SMD,
3,1,J1,PZ254V-12-16P,XFCN,to MAIN 2x8,PinHeader_2x08_P2.54mm_Vertical,THT,
4,1,RV4,RK09K1130A70,ALPSALPINE,B10k (FIZZ),ALPS_RK09K1130,THT,
5,1,RV1,RK09K1130A70,ALPSALPINE,B10k (FREQ),ALPS_RK09K1130,THT,
6,1,RV2,RK09K1130A70,ALPSALPINE,B10k (GAIN),ALPS_RK09K1130,THT,
7,1,RV3,RK09K1130A70,ALPSALPINE,B10k (MIX),ALPS_RK09K1130,THT,
8,1,RV5,RK09K1130A70,ALPSALPINE,B10k (Q),ALPS_RK09K1130,THT,
9,1,RV6,RK09K1130A70,ALPSALPINE,B10k (VOL),ALPS_RK09K1130,THT,
10,2,"SW1,SW2",SF12011F-0102-20R-M-011,Alpha,"Alpha SF12011F-0102-20R-M-011 (momentary, TAP/BYP + TAP/TEMPO)",SF12011F-0102-M,THT,
11,6,"LED1,LED2,LED3,LED4,LED5,LED6",WS2812B-B/T,Worldsemi,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,SMD,
