Ref,Val,Package,PosX,PosY,Rot,Side
"J1","to MAIN 2x8 (B.Cu, mirrored)","PinHeader_2x08_P2.54mm_Vertical_Mirrored",96.000000,-104.000000,-90.000000,bottom
"C1","100n","C_0603_1608Metric",69.000000,-60.800000,0.000000,top
"C2","100n","C_0603_1608Metric",70.178330,-64.653121,0.000000,top
"C3","100n","C_0603_1608Metric",63.626839,-61.577702,0.000000,top
"C4","100n","C_0603_1608Metric",75.198932,-61.591615,0.000000,top
"C5","100n","C_0603_1608Metric",64.920486,-64.931284,0.000000,top
"C6","100n","C_0603_1608Metric",75.627028,-65.789860,0.000000,top
"C7","100u","CP_Elec_6.3x7.7",122.000000,-76.000000,0.000000,top
"LED1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",34.000000,-36.000000,0.000000,top
"LED2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",69.000000,-36.000000,0.000000,top
"LED3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",104.000000,-36.000000,0.000000,top
"LED4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",34.000000,-76.000000,0.000000,top
"LED5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",104.000000,-76.000000,0.000000,top
"LED6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",69.000000,-76.000000,0.000000,top
"RV1","B10k (FREQ)","ALPS_RK09K1130",34.000000,-22.000000,0.000000,top
"RV2","B10k (GAIN)","ALPS_RK09K1130",69.000000,-22.000000,0.000000,top
"RV3","B10k (MIX)","ALPS_RK09K1130",104.000000,-22.000000,0.000000,top
"RV4","B10k (FIZZ)","ALPS_RK09K1130",34.000000,-50.000000,0.000000,top
"RV5","B10k (Q)","ALPS_RK09K1130",69.000000,-50.000000,0.000000,top
"RV6","B10k (VOL)","ALPS_RK09K1130",104.000000,-50.000000,0.000000,top
"SW1","Suntsu SSWFS-S01 (TAP/BYP)","SSWFS-S01",34.000000,-96.000000,0.000000,top
"SW2","Suntsu SSWFS-S01 (TAP/BYP)","SSWFS-S01",104.000000,-96.000000,0.000000,top
