Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220n","C_0603_1608Metric",127.200000,-42.000000,0.000000,top
"C2","4.7u","CP_Elec_4x5.4",82.289726,-36.454371,0.000000,top
"C3","220n","C_0603_1608Metric",118.397849,-34.980519,0.000000,top
"C8","220n","C_0603_1608Metric",60.926033,-51.444232,0.000000,top
"C20","100n","C_0603_1608Metric",121.602150,-49.019480,0.000000,top
"C21","100n","C_0603_1608Metric",127.201075,-45.509740,0.000000,top
"C22","100n","C_0603_1608Metric",112.800000,-42.000000,0.000000,top
"C23","100n","C_0603_1608Metric",112.732779,-46.232197,0.000000,top
"C30","100n","C_0603_1608Metric",116.800000,-74.000000,0.000000,top
"C31","100n","C_0603_1608Metric",121.178330,-90.653121,0.000000,top
"C32","3.9n","C_0603_1608Metric",84.051467,-21.850992,0.000000,top
"C33","100n","C_0603_1608Metric",77.238510,-40.160605,0.000000,top
"C34","100n","C_0603_1608Metric",61.659911,-40.498481,0.000000,top
"C35","100n","C_0603_1608Metric",75.080184,-7.315211,0.000000,top
"C40","100n","C_0603_1608Metric",82.988960,-40.208119,0.000000,top
"C41","DNP-LFIL","C_0603_1608Metric",99.326324,-55.093939,0.000000,top
"C42","DNP-OFIL","C_0603_1608Metric",94.673675,-44.906060,0.000000,top
"C43","220p","C_0603_1608Metric",80.449971,-7.947196,0.000000,top
"C44","1u","C_0603_1608Metric",78.770634,-43.860433,0.000000,top
"C45","47n","C_0603_1608Metric",103.200000,-86.000000,0.000000,top
"C46","1u","C_0603_1608Metric",97.560722,-93.846282,0.000000,top
"C47","22u","CP_Elec_5x5.4",96.000000,-78.000000,0.000000,top
"C48","470u","CP_Elec_10x10",84.102661,-80.433685,0.000000,top
"C49","100n","C_0603_1608Metric",61.949353,-44.178818,0.000000,top
"C50","100n","C_0603_1608Metric",53.788921,-48.180626,0.000000,top
"C60","220n","C_0603_1608Metric",80.449971,-3.947196,0.000000,top
"C61","220p","C_0603_1608Metric",55.200000,-50.000000,0.000000,top
"C62","220p","C_0603_1608Metric",49.560722,-57.846282,0.000000,top
"C63","100n","C_0603_1608Metric",86.087079,-10.585913,0.000000,top
"C64","100n","C_0603_1608Metric",47.725479,-27.367647,0.000000,top
"C65","100n","C_0603_1608Metric",75.094529,-3.187027,0.000000,top
"C66","100n","C_0603_1608Metric",89.822530,-37.054347,0.000000,top
"C67","100n","C_0603_1608Metric",47.660318,-31.259285,0.000000,top
"C70","100n","C_0603_1608Metric",48.720697,-15.757094,0.000000,top
"C71","100n","C_0603_1608Metric",42.794663,-30.444232,0.000000,top
"C72","47n","C_0603_1608Metric",88.044155,-40.824299,0.000000,top
"C72A","56n","C_0603_1608Metric",39.602150,-51.019480,0.000000,top
"C73","100n","C_0603_1608Metric",25.800000,-68.000000,0.000000,top
"C74","1u","C_0603_1608Metric",20.673675,-74.906060,0.000000,top
"C75","10u","CP_Elec_4x5.4",27.061467,-59.391036,0.000000,top
"C76","100n","C_0603_1608Metric",77.714547,-47.726323,0.000000,top
"C77","100n","C_0603_1608Metric",70.000000,-49.000000,0.000000,top
"C78","100n","C_0603_1608Metric",62.285452,-47.726323,0.000000,top
"C80","1u","C_0603_1608Metric",131.199999,-78.000000,0.000000,top
"C81","10n","C_0603_1608Metric",45.542347,-83.889259,0.000000,top
"C82","10n","C_0603_1608Metric",40.362505,-80.559284,0.000000,top
"C83","100n","C_0603_1608Metric",56.666314,-44.955270,0.000000,top
"C84","100n","C_0603_1608Metric",125.602150,-85.019480,0.000000,top
"C85","100n","C_0603_1608Metric",85.824299,-6.955844,0.000000,top
"C90","10u","CP_Elec_4x5.4",53.119362,-83.715572,0.000000,top
"C91","100n","C_0603_1608Metric",85.637706,-44.248432,0.000000,top
"C93","100n","C_0603_1608Metric",52.603422,-7.325184,0.000000,top
"C94","100n","C_0603_1608Metric",51.081371,-42.246608,0.000000,top
"C95","100n","C_0603_1608Metric",91.812703,-10.128350,0.000000,top
"C96","100n","C_0603_1608Metric",95.227122,-17.218463,0.000000,top
"C97","100n","C_0603_1608Metric",89.559036,-34.818305,0.000000,top
"C98","100n","C_0603_1608Metric",84.946644,-47.725268,0.000000,top
"C99","100n","C_0603_1608Metric",76.272751,-51.466820,0.000000,top
"C100","220u/35V","CP_Elec_8x10",70.000000,-25.800000,0.000000,top
"C101","100n","C_0603_1608Metric",67.719266,-20.005443,0.000000,top
"C102","1u","C_0603_1608Metric",72.714552,-31.542827,0.000000,top
"C103","1u","C_0603_1608Metric",78.496849,-19.473707,0.000000,top
"C104","10u/50V X7R","C_1206_3216Metric",75.250702,-16.963201,0.000000,top
"C105","3n3","C_0603_1608Metric",66.938532,-17.608963,0.000000,top
"C106","100n","C_0603_1608Metric",95.250000,-21.500000,0.000000,top
"C107","100n","C_0603_1608Metric",73.856276,-33.791423,0.000000,top
"C108","22u","C_0805_2012Metric",60.920154,-21.882885,0.000000,top
"C109","47u","CP_Elec_6.3x5.4",54.688532,-38.141036,0.000000,top
"C110","47u","CP_Elec_6.3x5.4",77.600000,-11.836413,0.000000,top
"C111","100n","C_0603_1608Metric",79.079845,-21.882885,0.000000,top
"C120","1n","C_0603_1608Metric",40.361615,-84.606614,0.000000,top
"C121","100n","C_0603_1608Metric",79.520240,-32.305137,0.000000,top
"C122","100n","C_0603_1608Metric",84.631344,-24.274837,0.000000,top
"C123","100n","C_0603_1608Metric",67.800000,-101.000000,0.000000,top
"C124","100n","C_0603_1608Metric",68.530733,-104.695518,0.000000,top
"C910","100n","C_0603_1608Metric",48.722011,-12.260800,0.000000,top
"C911","100n","C_0603_1608Metric",45.577960,-23.944822,0.000000,top
"D1","1N4148W","D_SOD-123",114.783562,-81.135691,0.000000,top
"D70","1N4148W","D_SOD-123",30.000000,-44.000000,0.000000,top
"D71","1N4148W","D_SOD-123",28.822291,-40.238174,0.000000,top
"D72","1N4148W","D_SOD-123",27.291557,-36.542655,0.000000,top
"D73","1N4148W","D_SOD-123",35.398059,-36.259082,0.000000,top
"D74","1N4148W","D_SOD-123",31.096903,-32.544948,0.000000,top
"D75","1N4148W","D_SOD-123",23.896903,-32.544947,0.000000,top
"D80","1N4148W","D_SOD-123",124.000000,-70.800000,0.000000,top
"D81","1N4148W","D_SOD-123",116.880650,-70.427489,0.000000,top
"D82","1N4148W","D_SOD-123",132.442948,-82.569094,0.000000,top
"D83","1N5819W (clamp 3V3)","D_SOD-123",124.000000,-99.000000,90.000000,top
"D84","1N5819W","D_SOD-123",70.000000,-53.000000,0.000000,top
"D85","1N5819W","D_SOD-123",46.700310,-8.071784,0.000000,top
"D90","SS14 (+5V->VSYS)","D_SMA",57.849407,-79.403414,0.000000,top
"D100","BZT52C10","D_SOD-123",52.745686,-3.843295,0.000000,top
"D101","SS34","D_SMA",90.000000,-24.000000,90.000000,top
"D102","1N4148W","D_SOD-123",42.534253,-36.682248,0.000000,top
